step,s_current,x_err,y_err,mag,cmd_x_pair,cmd_y_pair,tip_x,tip_y,tip_z
117,0.073600,-0.00562,-0.09549,0.09565,0.000482,-0.000098,0.004316,0.000919,0.138392
118,0.073800,-0.03949,-0.08433,0.09312,0.000513,-0.000031,0.004323,0.000902,0.138592
119,0.074000,-0.06411,-0.08497,0.10644,0.000564,0.000037,0.004350,0.000848,0.138790
120,0.074200,-0.07883,-0.08437,0.11547,0.000628,0.000105,0.004406,0.000758,0.138986
121,0.074400,-0.08146,-0.08004,0.11420,0.000693,0.000169,0.004492,0.000637,0.139180
122,0.074600,-0.09147,-0.06276,0.11093,0.000766,0.000219,0.004609,0.000489,0.139370
123,0.074800,-0.10346,-0.05336,0.11641,0.000849,0.000262,0.004760,0.000324,0.139556
124,0.075000,-0.08937,-0.00936,0.08986,0.000920,0.000269,0.004943,0.000153,0.139738
125,0.075200,-0.05082,0.03238,0.06026,0.000920,0.000269,0.005134,-0.000010,0.139917
126,0.075400,-0.05341,0.04636,0.07072,0.000920,0.000269,0.005317,-0.000164,0.140096
127,0.075600,-0.04057,0.05589,0.06907,0.000920,0.000269,0.005488,-0.000308,0.140276
128,0.075800,-0.02950,0.07298,0.07872,0.000920,0.000269,0.005650,-0.000443,0.140455
129,0.076000,-0.01638,0.06743,0.06939,0.000920,0.000269,0.005802,-0.000569,0.140635
130,0.076200,-0.00610,0.08289,0.08311,0.000925,0.000203,0.005945,-0.000669,0.140816
131,0.076400,0.00338,0.08691,0.08698,0.000922,0.000133,0.006081,-0.000727,0.140997
132,0.076600,0.01506,0.08322,0.08457,0.000910,0.000067,0.006205,-0.000743,0.141181
133,0.076800,0.02104,0.08354,0.08615,0.000893,-0.000000,0.006314,-0.000720,0.141366
134,0.077000,0.00870,0.09435,0.09475,0.000886,-0.000076,0.006410,-0.000658,0.141554
135,0.077200,0.01036,0.11338,0.11385,0.000878,-0.000166,0.006497,-0.000553,0.141743
136,0.077400,-0.01395,0.11360,0.11445,0.000889,-0.000257,0.006579,-0.000403,0.141933
137,0.077600,-0.01456,0.10365,0.10467,0.000901,-0.000340,0.006662,-0.000213,0.142123
138,0.077800,-0.03462,0.06743,0.07579,0.000901,-0.000340,0.006742,-0.000009,0.142311
139,0.078000,-0.04780,0.04079,0.06284,0.000901,-0.000340,0.006819,0.000185,0.142500
140,0.078200,-0.05025,0.01726,0.05313,0.000901,-0.000340,0.006890,0.000368,0.142688
141,0.078400,-0.06669,-0.02153,0.07008,0.000901,-0.000340,0.006958,0.000540,0.142877
142,0.078600,-0.07086,-0.05064,0.08709,0.000958,-0.000300,0.007036,0.000689,0.143063
143,0.078800,-0.07736,-0.04988,0.09204,0.001020,-0.000260,0.007138,0.000808,0.143245
144,0.079000,-0.06451,-0.04324,0.07766,0.001020,-0.000260,0.007250,0.000907,0.143426
145,0.079200,-0.06823,-0.05060,0.08495,0.001074,-0.000219,0.007372,0.000987,0.143605
146,0.079400,-0.07794,-0.04086,0.08801,0.001137,-0.000187,0.007515,0.001042,0.143781
147,0.079600,-0.08226,-0.04127,0.09203,0.001202,-0.000154,0.007683,0.001075,0.143952
148,0.079800,-0.07813,-0.02408,0.08176,0.001265,-0.000134,0.007874,0.001090,0.144120
149,0.080000,-0.05834,-0.03073,0.06593,0.001265,-0.000134,0.008071,0.001098,0.144285
150,0.080200,-0.07570,-0.02316,0.07916,0.001265,-0.000134,0.008257,0.001104,0.144452
151,0.080400,-0.05480,-0.02752,0.06132,0.001265,-0.000134,0.008433,0.001109,0.144620
152,0.080600,-0.06089,-0.02077,0.06434,0.001265,-0.000134,0.008598,0.001114,0.144789
153,0.080800,-0.06260,-0.02371,0.06694,0.001265,-0.000134,0.008754,0.001119,0.144960
154,0.081000,-0.07027,-0.02321,0.07400,0.001265,-0.000134,0.008899,0.001123,0.145132
155,0.081200,-0.04496,-0.01816,0.04848,0.001265,-0.000134,0.009036,0.001127,0.145305
156,0.081400,-0.04747,-0.02291,0.05270,0.001265,-0.000134,0.009165,0.001131,0.145480
157,0.081600,-0.04345,-0.02404,0.04965,0.001265,-0.000134,0.009286,0.001134,0.145655
158,0.081800,-0.04518,-0.00840,0.04595,0.001265,-0.000134,0.009400,0.001137,0.145832
159,0.082000,-0.05594,-0.01510,0.05794,0.001265,-0.000134,0.009507,0.001140,0.146010
160,0.082200,-0.06467,-0.03590,0.07397,0.001265,-0.000134,0.009607,0.001143,0.146189
161,0.082400,-0.03799,-0.04428,0.05834,0.001265,-0.000134,0.009701,0.001145,0.146369
162,0.082600,-0.03680,-0.05735,0.06814,0.001265,-0.000134,0.009790,0.001147,0.146550
